EmployeeID,Salary,Age,YearsExperience
1227,38155,52,6
1228,69384,34,17
1229,142561,56,17
1230,77254,37,25
1231,51918,36,24
1232,115981,39,22
1233,60306,58,13
1234,177718,48,17
1235,76843,56,14
1236,150975,56,2
1237,126601,49,26
1238,137512,59,19
1239,177443,30,26
1240,141472,33,28
1241,163121,36,3
1242,192688,42,2
1243,133727,56,28
1244,142893,54,2
1245,50932,40,22
1246,147796,44,7
1247,59855,34,4
1248,37400,22,17
1249,147858,50,6
1250,45151,45,7
1251,96690,37,20
1252,34499,46,6
1253,36295,44,9
1254,150885,49,20
1255,156071,37,28
1256,89040,59,26
1257,42183,32,4
1258,190371,24,26
1259,173946,36,28
1260,146336,22,5
1261,62711,28,19
1262,35539,22,10
1263,156063,53,18
1264,163629,30,15
1265,68360,50,25
1266,163272,47,29
1267,51357,44,1
1268,149121,50,5
1269,107505,59,5
1270,32869,54,8
1271,80108,28,22
1272,142296,33,22
1273,124179,52,22
1274,120272,53,20
1275,68467,41,15
1276,53328,38,17
1277,121412,57,19
1278,165059,24,29
1279,88871,22,13
1280,183471,48,26
1281,158391,54,28
1282,116416,41,27
1283,100271,35,22
1284,74064,57,21
1285,137450,26,10
1286,49830,44,17
1287,178501,36,5
1288,167965,27,18
1289,146381,54,17
1290,77333,40,4
1291,164508,34,22
1292,106213,50,7
1293,166967,27,25
1294,180810,36,5
1295,60746,37,8
1296,79377,45,8
1297,84045,44,11
1298,127888,31,9
1299,137455,38,19
1300,166672,51,19
1301,123179,31,9
1302,75714,40,23
1303,132946,50,20
1304,139616,23,17
1305,135983,57,16
1306,154123,40,7
1307,179661,28,26
1308,73484,47,22
1309,112989,36,3
1310,66212,59,21
1311,73525,24,19
1312,193707,59,8
1313,93208,37,5
1314,63828,23,26
1315,179783,52,26
1316,33420,49,6
1317,126752,28,2
1318,161373,51,24
1319,145294,28,25
1320,154019,57,19
1321,95726,50,13
1322,171564,45,6
1323,145668,25,6
1324,36102,50,2
1325,148015,26,26
1326,56641,50,24
1327,195656,51,5
1328,193817,50,11
1329,184165,47,11
1330,133746,40,24
1331,66631,47,14
1332,102991,58,13
1333,34014,48,8
1334,41093,51,15
1335,48070,51,12
1336,65777,24,3
1337,86958,28,21
1338,112074,30,23
1339,40729,34,5
1340,188823,36,6
1341,135864,26,2
1342,160858,50,8
1343,135510,56,5
1344,84748,48,22
1345,35801,48,17
1346,180262,29,26
1347,59592,53,2
1348,40647,41,11
1349,169788,31,4
1350,140627,34,11
1351,100316,50,9
1352,32368,56,6
1353,107575,29,24
1354,36655,50,2
1355,100031,52,26
1356,117922,51,15
1357,154046,43,5
1358,174475,42,28
1359,62097,33,12
1360,172038,32,13
1361,154862,23,17
1362,148834,23,4
1363,123848,55,10
1364,82921,24,1
1365,156141,37,11
1366,52677,25,16
1367,85609,44,11
1368,61024,41,9
1369,100313,46,2
1370,157813,51,7
1371,125285,39,19
1372,176410,32,18
1373,143632,50,29
1374,180580,38,20
1375,33051,47,7
1376,144692,44,23
1377,117235,41,9
1378,193165,23,12
1379,103523,45,29
1380,124476,52,3
1381,47019,48,23
1382,113613,23,22
1383,116672,35,26
1384,103847,25,16
1385,112750,34,7
1386,58251,57,23
1387,133481,56,26
1388,142566,29,5
1389,55945,23,25
1390,120852,27,23
1391,62217,52,7
1392,38308,31,28
1393,35949,42,19
1394,162222,31,17
1395,130235,44,16
1396,104740,24,21
1397,146352,53,24
1398,96617,41,21
1399,46896,31,26
1400,160798,50,19
1401,168877,55,25
1402,35237,58,18
1403,50056,41,19
1404,144548,29,28
1405,141488,28,4
1406,164415,27,26
1407,174572,32,1
1408,59375,39,27
1409,170734,50,4
1410,46964,46,4
1411,143429,42,9
1412,97215,24,8
1413,99042,39,2
1414,174356,45,29
1415,123468,59,23
1416,39435,31,6
1417,108832,48,23
1418,81293,33,11
1419,108781,28,4
1420,190196,38,14
1421,73919,22,21
1422,196319,47,22
1423,151172,36,9
1424,124758,54,2
1425,86573,58,27
1426,89101,52,25
1427,56646,56,26
1428,134185,22,1
1429,53049,29,4
1430,128116,33,12
1431,127379,40,5
1432,98385,46,9
1433,156131,53,22
1434,53289,33,4
1435,140226,34,16
1436,130793,49,2
1437,39823,22,16
1438,71975,27,16
1439,39540,29,21
1440,46364,25,24
1441,165683,26,24
1442,57663,46,22
1443,81991,43,11
1444,134182,49,1
1445,192049,44,15
1446,124704,25,24
1447,79115,25,4
1448,121007,42,18
1449,179143,58,17
1450,41938,23,7
1451,196267,28,18
1452,121680,37,13
1453,34000,38,20
1454,131042,41,20
1455,123610,44,29
1456,133691,55,10
1457,68304,32,1
1458,99449,55,2
1459,112986,54,17
1460,181836,47,22
1461,138940,23,29
1462,68494,44,3
1463,33373,43,17
1464,173233,55,12
1465,127532,36,24
1466,122658,31,12
1467,153633,36,20
1468,130386,50,10
1469,57350,44,7
1470,123008,38,10
1471,124297,30,18
1472,55351,57,22
1473,118668,30,6
1474,144585,37,7
1475,176377,57,28
1476,105353,54,17
1477,95953,52,12
1478,87458,27,17
1479,50358,31,18
1480,33267,37,14
1481,112745,25,11
1482,119588,43,2
1483,68513,34,21
1484,187164,37,1
1485,41338,50,11
1486,161484,27,2
1487,37543,47,16
1488,135891,32,22
1489,194568,45,3
1490,90692,50,20
1491,74425,24,1
1492,68756,31,21
1493,48888,22,20
1494,196807,47,8
1495,77295,33,19
1496,144352,35,26
1497,113042,46,1
1498,115999,29,29
1499,47955,25,26
1500,67841,49,5
1501,100640,28,1
1502,195983,31,11
1503,168429,57,21
1504,193551,23,9
1505,91476,47,5
1506,74811,35,2
1507,197280,37,13
1508,181222,38,18
1509,101180,43,26
1510,142856,25,25
1511,98450,40,12
1512,182424,23,14
1513,141888,30,5
1514,140448,40,27
1515,44397,37,24
1516,161800,46,10
1517,149180,39,20
1518,96234,44,2
1519,69954,42,4
1520,109459,32,12
1521,177851,25,11
1522,185538,46,4
1523,198011,53,11
1524,196342,51,9
1525,89163,47,10
1526,81934,57,27
1527,193379,55,6
1528,84098,30,15
1529,35486,33,10
1530,169407,23,22
1531,116900,59,21
1532,156020,26,6
1533,132795,26,1
1534,172202,43,29
1535,117508,26,21
1536,148324,25,28
1537,90566,30,22
1538,57192,50,24
1539,31062,43,20
1540,114076,48,21
1541,119780,31,4
1542,182617,37,23
1543,51689,31,26
1544,41174,27,22
1545,118461,26,14
1546,156174,27,20
1547,133033,46,22
1548,39348,25,29
1549,184786,53,20
1550,68102,56,28
1551,104460,31,8
1552,132634,55,11
1553,119930,57,15
1554,36801,27,19
1555,133150,37,8
1556,184697,40,13
1557,31542,55,18
1558,51677,46,22
1559,69081,52,24
1560,123105,38,17
1561,49065,51,6
1562,118092,52,25
1563,84693,40,15
1564,56962,56,13
1565,58295,50,26
1566,43807,22,26
1567,187504,25,18
1568,198152,49,11
1569,162396,39,13
1570,121267,47,1
1571,196981,40,18
1572,49870,27,5
1573,195650,22,6
1574,56790,29,1
1575,148874,54,7
1576,55289,42,27
1577,45485,45,4
1578,74482,46,9
1579,116188,40,15
1580,34748,50,6
1581,170507,31,25
1582,33709,33,17
1583,153961,54,20
1584,60355,28,18
1585,174188,38,22
1586,186542,31,4
1587,72918,52,9
1588,82224,27,14
1589,69298,38,3
1590,110219,58,1
1591,91629,39,27
1592,96040,47,29
1593,58016,37,11
1594,53960,29,1
1595,63591,45,12
1596,133333,34,25
1597,144821,50,9
1598,66395,53,5
1599,159695,45,15
1600,183772,37,18
1601,64620,32,9
1602,158148,53,13
1603,50559,27,28
1604,123396,56,13
1605,51732,54,24
1606,121362,39,13
1607,191426,58,27
1608,43843,34,10
1609,144065,31,10
1610,101726,58,22
1611,47640,47,7
1612,82528,38,28
1613,68413,22,22
1614,82638,46,5
1615,140133,55,20
1616,136357,31,7
1617,180159,41,20
1618,185576,28,10
1619,168186,37,10
1620,108859,58,26
1621,129657,50,25
1622,172047,33,21
1623,41023,38,24
1624,51447,41,28
1625,155899,47,13
1626,53959,40,15
1627,96203,33,28
1628,149156,42,28
1629,190775,55,6
1630,39337,28,20
1631,76427,56,12
1632,91529,36,19
1633,132023,22,11
1634,114665,47,6
1635,135787,56,1
1636,192993,46,2
1637,63307,36,23
1638,188427,43,15
1639,157016,27,4
1640,34835,36,5
1641,50159,45,15
1642,151790,42,11
1643,135616,28,10
1644,199160,50,17
1645,108752,53,2
1646,85284,53,20
1647,87043,26,24
1648,196619,25,10
1649,127007,43,20
1650,112844,39,3
1651,57532,56,19
1652,195421,38,28
1653,152402,45,5
1654,148012,23,3
1655,166785,34,8
1656,86178,36,5
1657,79407,26,28
1658,80990,24,12
1659,159473,58,14
1660,88141,58,7
1661,184865,58,11
1662,86570,24,8
1663,198964,56,5
1664,31015,44,8
1665,91813,49,12
1666,57712,51,15
1667,130497,39,19
1668,169487,57,16
1669,142816,54,14
1670,158778,47,28
1671,92292,38,7
1672,53833,28,8
1673,165230,29,7
1674,50309,52,18
1675,36970,33,24
1676,102474,52,6
1677,76540,40,26
1678,181456,31,19
1679,48017,33,4
1680,105880,41,23
1681,135570,58,3
1682,38702,28,17
1683,161456,35,22
1684,30404,32,19
1685,190261,28,27
1686,42763,50,15
1687,179456,31,26
1688,128142,50,6
1689,170932,30,26
1690,110642,57,12
1691,80612,31,19
1692,53574,40,6
1693,53524,52,11
1694,40916,38,20
1695,34809,30,29
1696,193273,54,20
1697,174528,55,10
1698,151288,45,26
1699,68765,30,16
1700,195888,28,27
1701,75106,37,18
1702,83932,40,14
1703,178172,27,4
1704,87091,32,27
1705,51949,33,12
1706,67744,34,20
1707,138319,33,27
1708,122193,42,23
1709,66187,31,21
1710,168311,41,8
1711,154454,57,7
1712,44489,49,26
1713,91877,45,9
1714,79922,26,24
1715,124074,58,25
1716,193121,33,17
1717,67131,56,10
1718,145765,23,29
1719,103963,30,28
1720,136884,43,3
1721,155917,26,21
1722,54285,33,25
1723,67626,22,8
1724,49198,43,14
1725,180830,59,26
1726,45254,40,7
1727,74238,37,16
1728,31252,52,18
1729,69764,24,11
1730,107709,44,6
1731,198513,39,20
1732,83682,47,21
1733,89494,34,14
1734,111317,39,21
1735,95215,24,13
1736,108587,44,4
1737,36949,24,20
1738,85393,46,20
1739,168013,48,11
1740,55934,48,18
1741,184458,46,1
1742,105745,45,12
1743,124456,29,18
1744,83413,30,7
1745,127239,58,12
1746,72318,51,1
1747,100390,40,22
1748,73088,37,4
1749,133196,45,18
1750,85479,42,15
1751,49963,57,3
1752,85123,27,7
1753,155911,26,6
1754,132468,35,15
1755,103477,25,15
1756,44388,29,6
1757,35569,45,8
1758,99836,32,8
1759,134573,38,22
1760,197658,42,1
1761,173087,47,26
1762,75002,48,13
1763,167326,37,23
1764,178216,47,24
1765,185286,54,21
1766,167162,52,13
1767,172709,27,11
1768,183487,29,4
1769,54071,28,7
1770,88243,55,28
1771,155827,35,12
1772,138215,37,27
1773,131570,30,13
1774,194506,31,22
1775,99724,38,12
1776,145359,33,16
1777,105697,27,6
1778,58732,40,14
1779,151465,50,19
1780,172386,27,16
1781,185026,46,27
1782,87108,45,26
1783,141195,46,4
1784,133081,37,5
1785,66668,37,9
1786,53061,27,24
1787,109252,58,3
1788,69749,42,22
1789,160560,25,10
1790,134680,55,17
1791,177979,49,19
1792,179849,59,10
1793,81745,49,12
1794,138464,38,23
1795,121865,35,7
1796,142428,28,18
1797,53624,43,19
1798,53321,22,15
1799,171560,50,7
1800,52574,52,12
1801,166312,51,22
1802,171550,36,29
1803,180334,39,7
1804,148831,56,10
1805,165504,51,25
1806,125257,55,24
1807,94291,32,22
1808,157600,48,28
1809,80428,45,20
1810,161374,56,29
1811,161127,29,10
1812,141317,39,25
1813,169789,34,23
1814,157449,45,5
1815,58699,44,18
1816,103686,33,9
1817,97661,51,16
1818,74247,52,7
1819,177820,49,25
1820,135113,43,27
1821,34621,49,25
1822,176106,34,10
1823,166198,46,5
1824,166194,28,7
1825,48030,27,5
1826,112838,45,15
1827,114717,40,19
1828,68638,40,10
1829,97067,57,8
1830,148033,30,24
1831,135977,57,9
1832,118869,59,11
1833,135186,50,28
1834,64674,45,22
1835,196926,26,2
1836,76271,47,3
1837,103688,35,13
1838,199590,50,11
1839,141076,27,28
1840,171339,28,10
1841,31062,58,27
1842,80448,39,15
1843,125462,44,6
1844,167301,59,1
1845,77915,22,14
1846,34632,25,18
1847,134592,56,24
1848,164668,44,11
1849,139779,48,8
1850,167240,47,22
1851,138099,29,3
1852,37561,37,14
1853,112152,24,2
1854,155036,53,29
1855,154049,26,16
1856,56734,41,6
1857,167443,35,1
1858,56069,53,14
1859,42910,47,10
1860,103479,27,6
1861,111264,57,9
1862,53275,26,7
1863,102274,34,25
1864,130776,53,2
1865,78447,37,11
1866,195601,22,14
1867,156394,34,5
1868,105703,32,9
1869,106090,29,7
1870,47260,46,25
1871,142581,53,14
1872,33812,45,27
1873,189096,49,16
1874,146148,35,22
1875,188357,24,16
1876,146421,57,7
1877,31605,48,10
1878,102303,41,21
1879,188211,36,6
1880,106125,48,17
1881,174990,49,1
1882,188518,46,2
1883,154040,54,27
1884,174118,35,14
1885,185890,29,4
1886,34324,35,27
1887,106323,22,9
1888,39111,37,23
1889,199182,39,6
1890,46389,28,17
1891,152177,36,21
1892,71427,45,11
1893,189818,34,28
1894,152883,30,29
1895,161189,36,4
1896,155808,56,21
1897,142221,45,27
1898,43234,54,9
1899,83441,37,28
1900,30846,29,16
1901,40954,50,3
1902,109239,44,4
1903,76514,52,24
1904,118236,35,3
1905,127579,51,13
1906,167541,48,19
1907,191177,37,29
1908,72101,27,25
1909,94323,54,21
1910,121922,39,26
1911,198048,37,1
1912,157534,33,23
1913,97584,41,23
1914,134537,50,6
1915,108477,51,22
1916,72533,47,3
1917,31828,43,3
1918,31917,54,16
1919,50618,50,10
1920,62254,43,27
1921,135292,34,25
1922,77362,30,17
1923,50128,45,7
1924,153781,36,13
1925,95545,57,28
1926,112180,34,11
1927,117958,48,10
1928,170937,58,7
1929,163291,28,24
1930,69809,29,6
1931,146748,58,24
1932,35287,35,1
1933,195459,33,17
1934,38512,57,25
1935,162414,38,12
1936,138872,50,4
1937,180288,48,3
1938,123070,22,6
1939,109767,55,26
1940,127829,25,28
1941,187686,45,16
1942,197330,42,13
1943,72078,54,28
1944,136288,28,9
1945,113524,22,26
1946,42219,24,11
1947,30235,36,20
1948,72929,52,25
1949,157309,37,21
1950,97444,31,13
1951,169639,50,23
1952,131834,27,19
1953,114555,50,3
1954,103698,38,12
1955,154450,43,19
1956,166487,45,8
1957,197231,38,14
1958,73925,42,22
1959,167023,32,9
1960,117388,28,25
1961,38007,26,24
1962,88596,42,17
1963,151101,39,6
1964,191595,56,4
1965,118861,41,4
1966,116740,36,19
1967,45524,26,12
1968,180354,34,25
1969,185002,33,2
1970,161149,42,17
1971,155501,58,15
1972,50611,27,10
1973,178056,28,3
1974,44060,47,29
1975,73303,29,20
1976,190359,30,4
1977,69711,48,22
1978,173026,25,1
1979,103340,42,1
1980,132974,52,18
1981,179646,42,4
1982,170256,46,23
1983,180168,36,22
1984,97728,56,15
1985,195088,58,27
1986,41246,49,25
1987,179453,35,23
1988,157796,25,28
1989,197527,41,21
1990,122263,55,22
1991,165090,33,10
1992,41302,54,25
1993,97506,45,17
1994,71157,41,27
1995,84917,26,25
1996,126646,59,22
1997,113122,51,12
1998,54519,45,20
1999,110910,28,12
2000,150430,57,16
2001,101324,59,5
2002,35408,37,29
2003,89379,36,16
2004,55053,44,17
2005,170518,33,23
2006,161994,50,29
2007,128723,36,15
2008,81356,50,13
2009,40789,42,8
2010,127720,36,27
2011,96656,35,21
2012,74028,37,2
2013,94484,36,8
2014,62154,25,10
2015,32336,48,7
2016,133677,44,10
2017,97779,50,25
2018,49029,30,4
2019,89201,28,11
2020,62265,25,9
2021,132916,26,4
2022,76197,26,3
2023,155733,32,11
2024,184782,49,3
2025,190558,37,26
2026,101907,51,18
2027,158876,25,26
2028,94435,23,19
2029,70631,24,14
2030,159038,42,24
2031,50103,27,11
2032,94772,39,24
2033,156108,26,2
2034,44382,30,27
2035,114291,41,2
2036,131195,49,2
2037,164828,47,10
2038,50609,39,23
2039,177550,40,15
2040,105683,24,22
2041,154714,30,12
2042,160330,57,11
2043,101315,52,17
2044,107834,38,18
2045,156205,44,14
2046,44153,55,17
2047,106325,26,15
2048,174071,36,12
2049,85318,24,27
2050,161886,40,16
2051,145033,49,23
2052,106077,24,6
2053,120474,59,2
2054,163515,25,2
2055,103319,45,16
2056,155885,52,2
2057,139777,32,8
2058,47368,58,7
2059,176400,22,1
2060,121751,30,4
2061,57306,38,11
2062,67219,22,20
2063,90279,24,7
2064,83028,47,18
2065,134263,52,4
2066,30126,47,17
2067,82329,44,29
2068,57632,51,29
2069,139945,31,11
2070,85176,29,11
2071,164869,46,20
2072,174790,43,11
2073,64560,36,15
2074,106589,31,14
2075,52116,41,17
2076,197316,44,2
2077,162717,22,18
2078,154085,23,16
2079,147718,40,12
2080,49256,35,10
2081,130158,29,28
2082,198502,59,16
2083,149719,33,3
2084,98244,47,8
2085,172766,48,27
2086,86264,50,22
2087,87545,36,22
2088,69224,22,25
2089,127945,49,24
2090,43224,24,2
2091,70738,39,22
2092,186222,55,1
2093,93731,53,29
2094,169649,50,14
2095,38070,46,25
2096,156161,47,4
2097,38666,29,4
2098,87761,40,9
2099,66368,43,3
2100,167855,50,5
2101,71914,54,1
2102,157738,59,22
2103,97526,56,19
2104,49956,24,1
2105,76240,40,10
2106,151008,31,22
2107,198220,48,12
2108,124270,36,10
2109,34757,32,2
2110,49097,47,16
2111,171467,45,8
2112,177313,34,14
2113,133892,53,29
2114,188768,58,15
2115,100480,25,16
2116,76163,34,11
2117,49816,30,12
2118,82853,55,2
2119,185989,58,4
2120,126731,28,3
2121,182638,22,9
2122,92823,33,18
2123,181878,42,19
2124,31759,32,7
2125,122374,35,4
2126,163554,55,6
2127,54442,55,19
2128,194791,46,1
2129,123501,25,16
2130,32079,47,11
2131,163789,37,22
2132,89676,31,4
2133,189024,23,18
2134,120397,56,23
2135,102847,40,26
2136,123607,27,29
2137,179521,40,28
2138,194608,29,29
2139,94077,35,5
2140,68258,31,22
2141,189937,24,6
2142,167717,59,25
2143,149771,50,28
2144,68000,36,2
2145,56737,44,12
2146,41485,44,22
2147,68565,39,9
2148,186594,40,28
2149,149614,49,20
2150,95155,47,29
2151,82487,31,12
2152,159948,25,29
2153,42342,23,13
2154,70806,24,27
2155,78770,28,22
2156,108623,37,23
2157,133177,52,17
2158,161026,31,5
2159,105629,40,20
2160,150993,49,13
2161,156944,38,29
2162,135947,49,13
2163,56399,40,10
2164,158177,58,15
2165,139575,44,15
2166,140904,41,18
2167,60678,34,18
2168,106218,34,2
2169,93230,32,23
2170,104055,36,11
2171,192552,38,13
2172,102258,49,11
2173,69986,40,4
2174,185232,25,15
2175,115595,43,22
2176,131358,43,23
2177,94929,58,25
2178,103506,55,11
2179,64911,54,18
2180,117127,54,16
2181,192893,33,10
2182,143453,23,12
2183,114458,49,13
2184,42175,31,9
2185,149235,43,27
2186,84771,38,21
2187,157157,47,13
2188,151300,24,6
2189,116925,28,6
2190,96358,29,11
2191,178399,41,19
2192,77057,33,27
2193,36150,56,11
2194,34425,38,10
2195,46032,49,23
2196,32198,31,15
2197,181151,43,13
2198,197292,59,23
2199,174931,54,8
2200,192491,43,5
2201,148865,58,2
2202,169777,34,16
2203,53236,48,13
2204,117955,36,19
2205,133145,43,9
2206,176430,51,15
2207,124914,58,6
2208,132870,55,8
2209,146243,55,24
2210,44596,56,14
2211,194644,40,5
2212,162351,29,17
2213,141496,54,22
2214,160273,49,7
2215,168155,58,9
2216,150674,46,16
2217,150307,57,18
2218,178843,38,28
2219,191047,45,13
2220,49063,42,18
2221,97642,23,10
2222,120093,52,1
2223,198671,54,21
2224,189601,51,18
2225,65954,33,19
2226,57856,33,2
2227,32573,45,27
2228,65367,45,4
2229,129608,32,11
2230,90774,34,3
2231,53752,48,9
2232,85029,29,10
2233,178757,31,28
2234,160282,29,2
2235,81693,41,7
2236,146739,29,15
2237,85961,30,27
2238,156678,28,19
2239,104532,35,10
2240,111994,49,24
2241,86133,23,20
2242,91268,29,14
2243,199315,34,4
2244,61653,42,25
2245,187729,49,11
2246,183252,56,3
2247,151829,44,23
2248,158377,36,17
2249,31622,23,7
2250,78756,33,26
2251,70809,57,11
2252,46725,24,18
2253,81226,26,28
2254,111182,24,14
2255,59402,40,14
2256,34263,23,6
2257,77924,58,29
2258,104182,38,9
2259,172736,35,22
2260,65737,49,3
2261,131332,48,17
2262,119563,31,28
2263,190445,24,12
2264,197469,57,4
2265,158575,59,20
2266,131371,46,16
2267,68709,43,29
2268,180322,51,24
2269,51172,42,10
2270,41555,51,26
2271,83276,49,29
2272,87492,52,7
2273,119599,47,10
2274,185834,43,7
2275,41046,42,23
2276,146021,22,28
2277,189841,58,18
2278,184222,34,9
2279,34853,42,22
2280,150900,30,18
2281,182864,38,17
2282,89129,42,11
2283,144130,52,1
2284,193059,43,17
2285,176922,33,4
2286,173184,27,4
2287,151789,37,14
2288,185130,47,28
2289,68890,26,9
2290,96017,30,13
2291,193993,35,28
2292,162596,51,28
2293,130424,47,16
2294,45048,50,1
2295,196183,40,3
2296,198976,29,19
2297,84912,44,8
2298,64008,56,18
2299,161132,52,6
2300,113559,56,27
2301,85337,53,20
2302,140616,26,29
2303,43350,37,26
2304,54354,38,6
2305,75186,53,29
2306,58145,59,5
2307,195092,53,12
2308,116123,41,9
2309,50581,23,9
2310,118929,41,17
2311,53051,39,19
2312,81474,22,17
2313,121748,50,22
2314,155995,50,16
2315,99626,40,12
2316,36960,27,3
2317,196844,29,14
2318,182592,45,17
2319,66408,41,22
2320,124006,35,16
2321,87134,26,21
2322,181563,55,12
2323,162413,37,28
2324,120327,28,24
2325,161410,37,2
2326,173326,28,8
2327,41344,48,12
2328,162822,35,21
2329,97957,35,16
2330,135423,54,8
2331,88053,54,28
2332,176968,41,16
2333,107454,57,10
2334,120600,28,20
2335,152732,53,15
2336,189007,24,4
2337,67641,50,26
2338,59711,45,15
2339,100342,43,4
2340,136896,27,11
2341,173254,45,6
2342,117833,44,4
2343,86276,59,9
2344,49541,31,9
2345,124457,37,3
2346,74813,32,23
2347,198270,53,28
2348,169892,27,5
2349,54070,45,15
2350,172194,54,28
2351,110559,33,9
2352,71786,48,2
2353,167809,59,3
2354,66062,39,26
2355,81571,34,21
2356,55510,51,12
2357,49426,34,16
2358,67265,55,5
2359,178922,57,10
2360,96150,51,28
2361,117312,46,15
2362,119613,23,14
2363,104910,57,14
2364,82375,39,23
2365,151826,26,13
2366,65435,40,16
2367,126443,39,8
2368,164055,53,8
2369,181734,42,17
2370,53510,31,17
2371,124071,58,3
2372,36640,43,1
2373,74547,34,17
2374,84620,38,26
2375,176389,30,24
2376,145608,45,16
2377,37564,35,17
2378,188417,29,25
2379,143824,58,2
2380,109273,40,25
2381,104859,49,14
2382,140017,51,7
2383,153618,28,25
2384,155341,47,19
2385,59430,32,1
2386,57788,35,17
2387,174991,42,27
2388,99346,29,10
2389,126122,24,6
2390,69974,49,7
2391,137309,50,25
2392,46371,44,6
2393,75084,39,5
2394,190701,56,2
2395,91916,34,18
